PUA,M+S,M+S+A,M+S+G,M+R,M+R+A,M+R+G,M+A,M+G,M+C,M+S+C,M+R+C,B+A,B+G,B+S,B+S+A,B+S+G,B+R,B+R+A,B+R+G,SHORT+B,SHORT+C,SHORT+M,SHORT+S+C,SHORT+R+C,CAPUPSILON+S,CAPUPSILON+S+A,CAPUPSILON+S+G,CAPUPSILON+S+C
alpha,'\uEB04','\uEB07','\uEAF3','\uEB05','\uEB09','\uEAF4','\uEB00','\uEAF0','\uEAF2','\uEAF5','\uEAF6','\uEB0A','\uEAF8','\uEAF9','\uEB0C','\uEAFA','\uEB0B','\uEAFB','\uEAFC','\u0000','\u0000','\u0000','\u0000','\u0000','\u0000','\u0000','\u0000','\u0000'
epsilon,'\uE1B6','\uE1BA','\uE1B8','\uE1B7','\uE1BB','\uE1B9','\uE1B4','\uE1B5','\uEB27','\uEB20','\uEB21','\u0000','\u0000','\u0000','\u0000','\u0000','\u0000','\u0000','\u0000','\uE1A9','\uE1B0','\uE1B3','\uE1B1','\uE1B2','\u0000','\u0000','\u0000','\u0000'
eta,'\u0000','\u0000','\u0000','\u0000','\u0000','\u0000','\u0000','\u0000','\u0000','\u0000','\u0000','\u0000','\u0000','\u0000','\u0000','\u0000','\u0000','\u0000','\u0000','\u0000','\u0000','\u0000','\u0000','\u0000','\u0000','\u0000','\u0000','\u0000'
iota,'\uEB3C','\uEB3D','\uEB54','\uEB3E','\uEB3F','\uEB55','\uEB39','\uEB38','\uEB36','\uEB57','\uEB58','\uEB40','\uEB44','\uEB41','\uEB42','\uEB45','\uEB43','\uEB47','\uEB48','\u0000','\u0000','\u0000','\u0000','\u0000','\u0000','\u0000','\u0000','\u0000'
omicron,'\uE1C6','\uE1CA','\uE1C8','\uE1C7','\uE1CB','\uE1C9','\uE1C4','\uE1C5','\uEB5A','\uEB5B','\uEB5C','\u0000','\u0000','\u0000','\u0000','\u0000','\u0000','\u0000','\u0000','\uE1AA','\uE1C0','\uE1C3','\uE1C1','\uE1C2','\u0000','\u0000','\u0000','\u0000'
upsilon,'\uEB7D','\uEB7F','\uEB71','\uEB7E','\uEB80','\uEB75','\uEB7A','\uEB6F','\uEB70','\uEB77','\uEB78','\uEB81','\uEB83','\uEB84','\uEB85','\uEB88','\uEB82','\uEB89','\uEB8A','\u0000','\u0000','\u0000','\u0000','\u0000','\u0000','\u0000','\u0000','\u0000'
omega,'\u0000','\u0000','\u0000','\u0000','\u0000','\u0000','\u0000','\u0000','\u0000','\u0000','\u0000','\u0000','\u0000','\u0000','\u0000','\u0000','\u0000','\u0000','\u0000','\u0000','\u0000','\u0000','\u0000','\u0000','\u0000','\u0000','\u0000','\u0000'
ALPHA,'\u0000','\u0000','\u0000','\u0000','\u0000','\u0000','\u0000','\u0000','\u0000','\u0000','\u0000','\u0000','\u0000','\u0000','\u0000','\u0000','\u0000','\u0000','\u0000','\u0000','\u0000','\u0000','\u0000','\u0000','\u0000','\u0000','\u0000','\u0000'
EPSILON,'\u0000','\u0000','\u0000','\u0000','\u0000','\u0000','\u0000','\u0000','\u0000','\u0000','\u0000','\u0000','\u0000','\u0000','\u0000','\u0000','\u0000','\u0000','\u0000','\uE1BF','\u0000','\uE1BE','\uE1BC','\uE1BD','\u0000','\u0000','\u0000','\u0000'
ETA,'\u0000','\u0000','\u0000','\u0000','\u0000','\u0000','\u0000','\u0000','\u0000','\u0000','\u0000','\u0000','\u0000','\u0000','\u0000','\u0000','\u0000','\u0000','\u0000','\u0000','\u0000','\u0000','\u0000','\u0000','\u0000','\u0000','\u0000','\u0000'
IOTA,'\u0000','\u0000','\u0000','\u0000','\u0000','\u0000','\u0000','\u0000','\u0000','\u0000','\u0000','\u0000','\u0000','\u0000','\u0000','\u0000','\u0000','\u0000','\u0000','\u0000','\u0000','\u0000','\u0000','\u0000','\u0000','\u0000','\u0000','\u0000'
OMICRON,'\u0000','\u0000','\u0000','\u0000','\u0000','\u0000','\u0000','\u0000','\u0000','\u0000','\u0000','\u0000','\u0000','\u0000','\u0000','\u0000','\u0000','\u0000','\u0000','\uE1CF','\u0000','\uE1CE','\uE1CC','\uE1CC','\u0000','\u0000','\u0000','\u0000'
UPSILON,'\u0000','\u0000','\u0000','\u0000','\u0000','\u0000','\u0000','\u0000','\u0000','\u0000','\u0000','\u0000','\u0000','\u0000','\u0000','\u0000','\u0000','\u0000','\u0000','\u0000','\u0000','\u0000','\u0000','\u0000','\uE1AC','\uE1AE','\uE1AD','\uE1AF'
OMEGA,'\u0000','\u0000','\u0000','\u0000','\u0000','\u0000','\u0000','\u0000','\u0000','\u0000','\u0000','\u0000','\u0000','\u0000','\u0000','\u0000','\u0000','\u0000','\u0000','\u0000','\u0000','\u0000','\u0000','\u0000','\u0000','\u0000','\u0000','\u0000'
